Galaxy ID,Stellar Mass [Mo],g band,r band,Probability is spiral
0,3565572600000.0,-23.25683,-24.071047,0.2858133316040039
1,537678280000.0,-21.94161,-22.71216,0.8173034191131592
2,603443700000.0,-22.199574,-22.951138,0.9414552450180054
3,165069550000.0,-21.828701,-22.411537,0.9988247156143188
4,128302250000.0,-20.685863,-21.42664,0.1134660542011261
5,184889970000.0,-21.015747,-21.7692,0.5475098490715027
6,278438770000.0,-21.608854,-22.351295,0.8535627126693726
7,185417610000.0,-21.07294,-21.870495,0.030664533376693726
8,214709200000.0,-21.148651,-21.954845,0.00404435396194458
9,193516730000.0,-21.233383,-22.019766,0.10203289985656738
10,227828320000.0,-21.713406,-22.406773,0.5534338355064392
11,250358660000.0,-21.481497,-22.296165,0.01435399055480957
12,80570970000.0,-20.23553,-21.034197,0.09800001978874207
13,93406280000.0,-20.3137,-21.11979,0.0433802604675293
14,162063450000.0,-21.155186,-21.9373,0.14568224549293518
15,68835470000.0,-20.354948,-21.115557,0.005113095045089722
16,96776990000.0,-20.443375,-21.239485,0.009445905685424805
17,75693850000.0,-20.20623,-20.999584,0.1327047049999237
18,82889900000.0,-20.733318,-21.468521,0.2409893274307251
19,127948910000.0,-20.803417,-21.609211,0.014141082763671875
20,41201594000.0,-20.23472,-20.88414,0.166203111410141
21,105616605000.0,-20.663454,-21.454693,0.004807502031326294
22,46274400000.0,-19.85498,-20.631804,0.16872653365135193
23,103265250000.0,-20.551569,-21.369076,0.0798669159412384
24,27938990000.0,-20.37927,-20.808466,0.9137714505195618
25,65201844000.0,-20.118975,-20.91111,0.030555307865142822
26,48008913000.0,-20.657276,-21.326538,0.05119544267654419
27,42469090000.0,-19.962263,-20.68971,0.37097281217575073
28,36162773000.0,-19.765486,-20.535864,0.025883764028549194
29,28447280000.0,-19.93003,-20.610687,0.35900866985321045
30,49401280000.0,-19.886112,-20.677397,0.3908321261405945
31,74102555000.0,-20.206903,-21.019712,0.033275455236434937
32,42453037000.0,-20.754017,-21.223131,0.3021278381347656
33,37814383000.0,-19.864428,-20.610876,0.20727568864822388
34,49380950000.0,-19.851269,-20.637255,0.20951363444328308
35,39716327000.0,-19.641926,-20.433302,0.48837000131607056
36,25872998000.0,-19.589209,-20.26892,0.5484868288040161
37,12864732000.0,-20.224337,-20.534714,0.7438371181488037
38,22459292000.0,-19.34331,-20.034199,0.5641111731529236
39,25966074000.0,-19.707123,-20.428679,0.5072399973869324
40,27542680000.0,-19.147625,-19.946749,0.20317521691322327
41,46096400000.0,-20.746428,-21.188253,0.9626874923706055
42,7673166000.0,-19.6808,-19.98359,0.9720306992530823
43,24180494000.0,-19.33747,-19.91853,0.5752605199813843
44,23757275000.0,-19.102423,-19.88889,0.42218759655952454
45,43802680000.0,-19.6403,-20.442608,0.13451814651489258
46,24083612000.0,-19.141346,-19.925137,0.8338280916213989
47,28536142000.0,-19.621443,-20.366455,0.33161529898643494
48,10176198000.0,-19.69307,-20.05498,0.861153244972229
49,30468393000.0,-19.776012,-20.5152,0.04706418514251709
50,25400041000.0,-19.90239,-20.511715,0.6595726013183594
51,11954137000.0,-20.062727,-20.444946,0.8563073873519897
52,26977253000.0,-20.113668,-20.666576,0.829308807849884
53,41024350000.0,-19.742086,-20.525938,0.20697912573814392
54,18198039000.0,-19.676899,-20.160774,0.9993952512741089
