Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
11,3.512781268699348,15,16
13,8.21393431111962,2,5
19,11.317040961531216,4,3
21,10.71425401075792,2,3
22,12.259335340432736,4,3
46,13.27352288733255,1,2
57,13.8,0,1
63,3.512781268699348,7,4
78,9.462953435380172,5,0
82,8.356294756117382,12,4
86,12.698000090258518,1,5
92,11.007950132808553,5,10
97,9.155686374365665,4,1
105,12.977660855576495,4,3
107,4.453332039958986,4,3
112,12.977660855576495,3,7
117,13.010124756583883,1,4
123,10.860805387276075,3,3
131,7.950232596370229,2,1
134,6.673014217597259,2,1
136,12.031032769266922,1,1
145,7.790641621123916,3,3
146,11.164723670049518,3,6
148,12.62066479053492,1,3
152,12.445128288561726,2,5
161,12.259335340432736,3,0
166,12.182845139342968,1,2
168,10.860805387276075,2,0
174,6.2282824636046845,5,1
177,13.056632387368863,3,1
179,9.78178393942305,2,2
193,8.06560019250075,2,1
201,11.472636476156389,2,2
207,11.164723670049518,3,2
210,9.462953435380172,2,2
212,10.860805387276075,1,1
234,12.55480493374341,2,2
235,9.92715903124954,4,1
236,11.007950132808553,2,1
252,9.92715903124954,3,2
281,13.8,0,0
287,13.056632387368863,1,0
293,10.083061130481992,3,2
300,10.083061130481992,4,1
316,12.445128288561726,3,0
317,11.56482052958491,6,0
333,12.182845139342968,4,1
354,11.903627662592406,2,1
438,13.8,0,4
443,10.083061130481992,3,1
496,12.182845139342968,2,3
538,12.182845139342968,3,2
550,11.472636476156389,3,4
555,13.8,0,0
573,13.8,0,0
640,11.007950132808553,4,2
648,8.06560019250075,1,1
664,13.8,0,0
677,13.8,0,0
736,13.8,0,0
764,13.8,0,0
775,13.8,0,1
1380,12.361172370658442,3,1
17190,10.860805387276075,7,8
17194,13.8,0,0
17195,3.1365850089211675,4,3
17208,4.126382949614405,21,1
17214,10.398502407966777,3,5
17216,6.343349487178175,5,2
17227,3.1365850089211675,3,20
17231,11.472636476156389,3,7
17233,13.056632387368863,1,3
17237,12.62066479053492,2,3
17244,11.164723670049518,3,2
17245,13.198853574391512,2,1
17249,11.766835879457043,3,3
