Galaxy ID,Time Since Last Major Merger [Gyr],Number of Major Mergers,Numbber of Minor Mergers
0,5.740039501884972,8,16
1,3.9566148760250575,9,5
2,0.7996985537050032,3,4
3,4.126382949614405,7,5
4,6.98087446663476,5,7
5,6.829554589521826,8,6
6,2.4291292845389068,7,11
7,5.060286141005806,4,4
8,6.2282824636046845,6,7
9,5.060286141005806,4,5
10,4.764322389615255,12,6
11,3.512781268699348,15,16
12,11.56482052958491,6,9
13,8.21393431111962,2,5
14,5.989919683560276,4,3
15,6.343349487178175,5,2
16,12.977660855576495,6,2
17,0.6709845706668234,4,1
18,13.27352288733255,4,2
19,11.317040961531216,4,3
20,13.14922900936169,1,4
21,10.71425401075792,2,3
22,12.259335340432736,4,3
23,11.472636476156389,4,4
24,10.71425401075792,8,1
25,9.78178393942305,2,5
26,3.039446653941879,3,6
27,10.228946019806829,8,1
28,13.8,0,2
29,11.317040961531216,4,2
30,8.356294756117382,5,5
31,9.155686374365665,3,1
32,12.698000090258518,3,5
33,3.870100791557793,10,2
34,12.977660855576495,2,3
35,12.445128288561726,3,5
36,12.445128288561726,1,2
37,8.559304846246299,3,3
38,0.40814160124130494,5,1
39,13.056632387368863,2,2
40,12.55480493374341,5,4
41,13.104017017822397,1,3
42,3.693728374563479,4,4
43,12.55480493374341,3,1
44,12.361172370658442,2,5
45,13.056632387368863,2,7
46,13.27352288733255,1,2
47,10.555201291724902,3,7
48,5.202907732559084,10,2
49,12.445128288561726,2,5
50,12.62066479053492,1,1
51,9.92715903124954,4,2
52,11.56482052958491,1,3
53,10.860805387276075,9,2
54,5.060286141005806,5,3
55,10.398502407966777,3,4
56,11.56482052958491,4,1
57,13.8,0,1
58,11.903627662592406,1,3
59,12.77131608967524,9,0
60,10.398502407966777,4,1
61,12.77131608967524,2,1
62,10.71425401075792,2,2
63,3.512781268699348,7,4
64,6.98087446663476,1,6
65,12.62066479053492,4,2
66,13.104017017822397,1,2
67,5.61056555205565,6,2
68,13.8,0,4
69,12.445128288561726,2,4
70,10.71425401075792,5,1
71,11.766835879457043,7,4
72,6.511025527436423,5,1
73,9.627308552926124,7,4
74,10.71425401075792,3,3
75,13.198853574391512,2,2
76,8.841999739310916,1,0
77,1.0518636497159117,6,2
78,9.462953435380172,5,0
79,9.155686374365665,5,4
80,9.78178393942305,6,4
81,10.860805387276075,5,1
82,8.356294756117382,12,4
83,11.164723670049518,4,3
84,9.017171205041503,4,0
85,5.989919683560276,3,3
86,12.698000090258518,1,5
87,10.555201291724902,5,1
88,10.860805387276075,4,2
89,13.8,0,0
90,12.698000090258518,2,1
91,12.445128288561726,5,1
92,11.007950132808553,5,10
93,12.445128288561726,5,3
94,7.790641621123916,6,4
95,12.62066479053492,4,2
96,11.317040961531216,4,4
97,9.155686374365665,4,1
98,12.259335340432736,4,3
99,12.361172370658442,2,6
100,9.389280682850277,3,3
101,11.164723670049518,6,3
102,9.92715903124954,3,3
103,12.182845139342968,1,3
104,7.1271910119321165,1,2
105,12.977660855576495,4,3
106,10.860805387276075,4,5
107,4.453332039958986,4,3
108,13.8,0,0
109,12.182845139342968,4,2
110,7.314853196564868,4,1
111,10.083061130481992,4,2
112,12.977660855576495,3,7
113,12.445128288561726,3,3
114,7.5813644077819715,8,2
117,13.010124756583883,1,4
118,11.472636476156389,4,1
120,10.71425401075792,8,2
121,12.804875891454154,2,2
123,10.860805387276075,3,3
124,10.555201291724902,9,6
127,9.92715903124954,2,1
128,9.462953435380172,2,0
129,12.894981355405132,2,1
130,12.77131608967524,2,2
131,7.950232596370229,2,1
132,12.445128288561726,2,2
133,6.829554589521826,5,2
134,6.673014217597259,2,1
135,9.462953435380172,2,1
137,12.259335340432736,1,3
138,6.98087446663476,4,1
141,12.698000090258518,4,0
143,12.445128288561726,1,1
144,12.361172370658442,4,4
145,7.790641621123916,3,3
146,11.164723670049518,3,6
147,9.155686374365665,5,0
149,7.5813644077819715,2,3
150,9.78178393942305,4,4
152,12.445128288561726,2,5
153,0.40814160124130494,4,3
